,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.num_samples,track.duration,track.offset_seconds,track.window_seconds,track.analysis_sample_rate,track.analysis_channels,track.end_of_fade_in,track.start_of_fade_out,track.loudness,track.tempo,track.tempo_confidence,track.time_signature,track.time_signature_confidence,track.key,track.key_confidence,track.mode,track.mode_confidence,identity,Song_Name
24,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,188893,4,4165098,188.89333,0,0,22050,1,0.0,178.49179,-5.737,77.014,0.319,4,1.0,5,0.479,1,0.389,0,I Don't Do Drugs (feat. Ariana Grande)
25,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453,4,5390196,244.45332,0,0,22050,1,0.0,235.90314,-5.948,107.853,0.439,4,1.0,9,0.264,1,0.372,0,Into You
26,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133,4,5206740,236.13333,0,0,22050,1,0.31955,224.84464,-4.389,98.992,0.352,4,0.778,1,0.354,0,0.395,0,Love Me Harder
27,0.645,0.877,5,-3.208,0,0.113,0.294,0.0,0.0759,0.861,82.324,227027,4,5005938,227.02667,0,0,22050,1,2.13624,222.22658,-3.208,82.324,0.239,4,1.0,5,0.262,0,0.448,0,The Way
28,0.861,0.33,6,-7.194,1,0.0526,0.627,1.93e-06,0.14,0.718,95.016,216000,4,4762800,216.0,0,0,22050,1,0.0,207.04652,-7.194,95.016,0.953,4,0.976,6,0.629,1,0.65,0,My Favorite Part
29,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,193920,4,4275936,193.92,0,0,22050,1,0.49905,189.64317,-5.352,103.008,0.487,4,1.0,1,0.224,0,0.333,0,Problem
30,0.65,0.736,6,-5.84,0,0.229,0.0528,0.0,0.235,0.613,159.173,226160,4,4986828,226.16,0,0,22050,1,0.24948,218.25015,-5.84,159.173,0.346,4,1.0,6,0.569,0,0.609,0,Side To Side
31,0.88,0.662,0,-5.766,1,0.304,0.205,0.0,0.227,0.726,109.988,182438,4,4022754,182.43782,0,0,22050,1,0.21424,170.8234,-5.766,109.988,0.351,4,1.0,0,0.468,1,0.516,0,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix"
32,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,235947,3,5202624,235.94667,0,0,22050,1,0.33116,226.4294,-5.369,134.049,0.525,3,1.0,4,0.142,0,0.297,0,Dangerous Woman
33,0.647,0.309,7,-7.948,0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,171573,4,3783192,171.57333,0,0,22050,1,0.2146,163.7355,-7.948,87.045,0.343,4,1.0,7,0.759,0,0.776,0,needy
34,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,4,4369428,198.16,0,0,22050,1,0.16821,190.16562,-5.413,100.049,0.0,4,1.0,8,0.432,1,0.559,0,breathin
35,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,4,4737222,214.84,0,0,22050,1,0.15093,210.57596,-5.324,129.956,0.839,4,0.913,7,0.302,0,0.595,0,Break Free
36,0.729,0.475,8,-4.985,1,0.0364,0.378,0.0,0.12,0.371,62.52,212267,3,4680480,212.26666,0,0,22050,1,0.19741,206.48924,-4.985,62.52,0.045,3,1.0,8,0.395,1,0.5,0,imagine
37,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4,3506197,159.0112,0,0,22050,1,0.26689,153.21107,-3.001,95.927,0.068,4,0.849,5,0.436,0,0.425,0,Good as Hell (feat. Ariana Grande) - Remix
38,0.538,0.512,4,-4.548,0,0.0262,0.22,0.0,0.101,0.12,144.978,204632,4,4512125,204.63152,0,0,22050,1,0.2205,197.30576,-4.548,144.978,0.356,4,0.955,4,0.639,0,0.601,0,Met Him Last Night (feat. Ariana Grande)
39,0.736,0.756,11,-7.099,1,0.047,0.00632,0.00577,0.106,0.712,117.016,231847,4,5112216,231.84653,0,0,22050,1,0.24966,220.22385,-7.099,117.016,0.584,4,0.952,11,0.389,1,0.486,0,Dance To This (feat. Ariana Grande)
40,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4,3506197,159.0112,0,0,22050,1,0.26689,153.21107,-3.001,95.927,0.068,4,0.849,5,0.436,0,0.425,0,Good as Hell (feat. Ariana Grande)
41,0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,222947,4,4915974,222.94667,0,0,22050,1,0.21488,216.17197,-6.402,134.979,0.736,4,1.0,0,0.677,1,0.749,0,in my head
42,0.719,0.607,8,-5.156,1,0.165,0.08,0.0,0.125,0.464,128.006,149900,4,3305298,149.90015,0,0,22050,1,0.22717,139.401,-5.156,128.006,0.789,4,0.993,8,0.756,1,0.616,0,just like magic
43,0.772,0.506,6,-6.558,0,0.139,0.0814,1.1e-05,0.182,0.456,127.894,200733,4,4426153,200.73256,0,0,22050,1,0.26104,197.9443,-6.558,127.894,0.744,4,1.0,6,0.0,0,0.224,0,nasty
44,0.552,0.599,1,-5.75,0,0.0404,0.0703,0.0,0.0986,0.0916,161.884,208457,4,4596484,208.45732,0,0,22050,1,0.37329,199.32008,-5.75,161.884,0.225,4,1.0,1,0.769,0,0.78,0,safety net (feat. Ty Dolla $ign)
45,0.747,0.458,6,-6.891,1,0.303,0.451,0.0,0.252,0.47,75.029,182000,4,4013100,182.0,0,0,22050,1,0.2322,176.78513,-6.891,75.029,0.084,4,0.967,6,0.613,1,0.602,0,NASA
46,0.708,0.454,1,-7.07,1,0.0395,0.0217,0.0,0.073,0.24,110.963,189507,4,4178622,189.50667,0,0,22050,1,0.21483,181.89932,-7.07,110.963,0.59,4,1.0,1,0.436,1,0.559,0,goodnight n go
47,0.698,0.708,9,-4.943,0,0.0454,0.0251,0.0,0.124,0.322,115.036,122174,4,2693946,122.17442,0,0,22050,1,0.22222,115.7805,-4.943,115.036,0.787,4,1.0,9,0.071,0,0.208,0,test drive
48,0.659,0.662,5,-5.768,1,0.434,0.211,0.0,0.228,0.704,109.957,182438,4,4022754,182.43782,0,0,22050,1,0.21424,170.8234,-5.768,109.957,0.287,4,1.0,5,0.348,1,0.091,0,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix"
49,0.71,0.614,10,-6.757,0,0.0431,0.186,0.0,0.0974,0.658,148.152,172107,4,3794952,172.10667,0,0,22050,1,0.2093,165.19836,-6.757,148.152,0.496,4,0.668,10,0.296,0,0.445,0,everytime
0,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4,5206740,236.13333,0,0,22050,1,0.86821,226.99248,-6.596,99.165,0.043,4,1.0,2,0.127,0,0.0,1,Crazy In Love (feat. Jay-Z)
1,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,242001,4,5336121,242.00095,0,0,22050,1,0.0,238.60825,-4.772,84.459,0.048,4,1.0,10,0.449,0,0.463,1,Savage Remix (feat. Beyoncé)
2,0.576,0.697,10,-4.192,1,0.326,0.0286,1.15e-06,0.167,0.501,175.906,227667,4,5020050,227.66667,0,0,22050,1,0.13342,220.2703,-4.192,175.906,0.22,4,1.0,10,0.363,1,0.142,1,Irreplaceable
3,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,4,5769162,261.64,0,0,22050,1,2.62966,258.01434,-5.908,79.983,0.406,4,1.0,11,0.015,0,0.308,1,Halo
4,0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092,200613,4,4423524,200.61333,0,0,22050,1,0.23238,196.59175,-6.744,146.092,0.125,4,0.975,6,0.681,0,0.583,1,Diva
5,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,206080,4,4544064,206.08,0,0,22050,1,0.0,202.87274,-6.857,121.966,0.076,4,1.0,5,0.751,0,0.713,1,Formation
6,0.711,0.844,6,-5.589,0,0.0967,0.0699,0.0,0.354,0.469,102.999,240777,4,5309126,240.77669,0,0,22050,1,0.0,236.94803,-5.589,102.999,0.541,4,1.0,6,0.213,0,0.318,1,Before I Let Go - Homecoming Live Bonus Track
7,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,208067,4,4587870,208.06667,0,0,22050,1,0.13156,194.13043,-5.986,121.949,0.729,4,1.0,1,0.384,1,0.395,1,Sweet Dreams
8,0.652,0.748,0,-5.242,1,0.0887,0.0849,0.0,0.604,0.652,94.1,267413,4,5896464,267.41333,0,0,22050,1,0.41066,259.90094,-5.242,94.1,0.522,4,1.0,0,0.576,1,0.49,1,Love On Top
9,0.472,0.573,11,-5.21,1,0.0463,0.328,0.0,0.137,0.179,121.344,219307,4,4835712,219.30667,0,0,22050,1,0.32494,211.15646,-5.21,121.344,0.221,4,0.957,11,0.619,1,0.309,1,"Listen (From the Motion Picture ""Dreamgirls"")"
10,0.564,0.703,2,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045,237840,4,5244372,237.84,0,0,22050,1,0.0,237.84,-5.459,139.045,0.03,4,0.965,2,0.487,1,0.385,1,Feeling Myself
11,0.658,0.621,1,-5.725,1,0.231,0.0667,2.46e-06,0.142,0.817,91.267,246707,4,5439882,246.70667,0,0,22050,1,0.31465,237.4937,-5.725,91.267,0.604,4,1.0,1,0.6,1,0.567,1,Baby Boy (feat. Beyoncé )
12,0.412,0.441,11,-11.523,0,0.291,0.0296,0.0726,0.306,0.174,185.571,319467,4,7044240,319.46667,0,0,22050,1,0.29596,309.5162,-11.523,185.571,0.1,4,0.955,11,0.545,0,0.226,1,Partition
13,0.587,0.299,8,-7.365,1,0.0263,0.779,0.0,0.123,0.356,94.992,259550,3,5723083,259.55026,0,0,22050,1,0.23619,253.85216,-7.365,94.992,0.016,3,0.948,8,0.582,1,0.65,1,Perfect Duet (Ed Sheeran & Beyoncé)
14,0.837,0.737,10,-5.928,0,0.302,0.0461,3.73e-06,0.32,0.59,96.534,374587,4,8259636,374.58667,0,0,22050,1,0.46435,370.57886,-5.928,96.534,0.472,4,1.0,10,0.447,0,0.595,1,Get Me Bodied - Timbaland Remix featuring Voltio
15,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4,4864818,220.62666,0,0,22050,1,0.24395,209.206,-5.853,122.021,0.871,4,1.0,5,0.276,0,0.417,1,Telephone
16,0.303,0.384,6,-7.342,1,0.0339,0.381,5.14e-06,0.0661,0.261,63.345,273880,5,6039054,273.88,0,0,22050,1,0.65615,263.73224,-7.342,63.345,0.026,5,0.752,6,0.608,1,0.621,1,1+1
17,0.733,0.899,0,-4.237,1,0.143,0.00496,4.72e-05,0.372,0.76,127.086,236093,4,5205858,236.09332,0,0,22050,1,0.0,233.28508,-4.237,127.086,0.851,4,1.0,0,0.795,1,0.582,1,Run the World (Girls)
18,0.649,0.547,10,-6.936,1,0.0493,0.0111,0.0,0.105,0.708,161.007,219827,4,4847178,219.82668,0,0,22050,1,0.13447,215.10966,-6.936,161.007,0.466,4,1.0,10,0.507,1,0.408,1,Party (feat. J. Cole)
19,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,213507,4,4707822,213.50667,0,0,22050,1,0.1683,209.18277,-5.137,136.024,0.43,4,1.0,9,0.343,0,0.38,1,7/11
20,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853,4,5024166,227.85333,0,0,22050,1,0.0,220.17741,-4.637,175.868,0.016,4,1.0,7,0.208,0,0.59,1,Irreplaceable
21,0.524,0.397,0,-11.936,1,0.405,0.745,0.0,0.521,0.552,80.744,221093,4,4875108,221.09332,0,0,22050,1,0.0,218.04698,-11.936,80.744,0.143,4,0.891,0,0.784,1,0.727,1,Hold Up
22,0.914,0.79,8,-2.432,0,0.17,0.0473,0.0,0.0754,0.502,100.03,131925,4,2908946,131.92499,0,0,22050,1,0.0,128.40636,-2.432,100.03,0.277,4,1.0,8,0.0,0,0.0,1,Beyonce
23,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,249147,4,5493684,249.14667,0,0,22050,1,0.5746,236.20499,-6.126,90.007,0.012,4,0.974,6,0.787,1,0.692,1,If I Were a Boy
24,0.735,0.459,11,-8.627,0,0.0576,0.291,0.0,0.141,0.249,109.985,270263,4,5959296,270.26285,0,0,22050,1,0.11596,245.93414,-8.627,109.985,0.457,4,0.983,11,0.142,0,0.341,1,Beyonce
25,0.589,0.621,5,-6.902,0,0.0468,0.00969,0.00104,0.181,0.401,140.03,323480,4,7132734,323.48,0,0,22050,1,0.33683,323.48,-6.902,140.03,0.474,4,0.866,5,0.317,0,0.524,1,Drunk in Love (feat. Jay-Z)
26,0.753,0.745,10,-4.776,0,0.334,0.0159,0.0,0.127,0.635,169.02,242001,4,5336121,242.00095,0,0,22050,1,0.0,238.60825,-4.776,169.02,0.059,4,1.0,10,0.384,0,0.473,1,Savage Remix (feat. Beyoncé)
27,0.499,0.869,3,-3.967,0,0.142,0.174,0.0,0.122,0.791,103.477,202357,4,4461979,202.35732,0,0,22050,1,0.0,198.65833,-3.967,103.477,0.528,4,0.887,3,0.55,0,0.646,1,Beyonce
28,0.732,0.61,9,-9.211,0,0.3,0.483,0.0,0.119,0.394,97.971,210509,4,4641717,210.50871,0,0,22050,1,0.0,205.00317,-9.211,97.971,0.531,4,0.937,9,0.7,0,0.608,1,Beyoncé
29,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,232560,4,5127948,232.56,0,0,22050,1,0.0,228.51338,-7.274,129.988,0.542,4,0.974,2,0.539,1,0.538,1,Sorry
30,0.893,0.593,10,-6.385,0,0.0772,0.0155,0.000134,0.228,0.427,122.965,176644,4,3894996,176.64381,0,0,22050,1,0.0,171.36327,-6.385,122.965,0.824,4,1.0,10,0.417,0,0.411,1,Beyoncé
31,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099,253747,4,5595114,253.74667,0,0,22050,1,0.41184,237.95229,-4.062,99.099,0.215,4,1.0,6,0.591,1,0.475,1,Best Thing I Never Had
32,0.78,0.513,7,-7.678,0,0.0507,0.043,0.0,0.0992,0.171,120.004,128040,4,2823282,128.04,0,0,22050,1,0.0,111.20617,-7.678,120.004,0.677,4,0.962,7,0.054,0,0.483,1,Beyonce
33,0.914,0.789,8,-2.431,0,0.171,0.0456,0.0,0.0753,0.504,100.029,131925,4,2908946,131.92499,0,0,22050,1,0.0,128.40636,-2.431,100.029,0.277,4,1.0,8,0.0,0,0.0,1,Beyonce
34,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,4,4260354,193.21333,0,0,22050,1,0.37683,188.42413,-5.293,193.437,0.37,4,1.0,1,0.711,1,0.607,1,Single Ladies (Put a Ring on It)
35,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,4,5769162,261.64,0,0,22050,1,2.62966,258.01434,-5.908,79.983,0.406,4,1.0,11,0.015,0,0.308,1,Halo
36,0.731,0.37,4,-5.505,0,0.107,0.166,0.000149,0.0846,0.23,164.047,212012,4,4674869,212.0122,0,0,22050,1,0.35991,209.35692,-5.505,164.047,0.07,4,1.0,4,0.503,0,0.357,1,Beyoncé
37,0.639,0.659,8,-7.273,1,0.215,0.241,8.33e-06,0.484,0.457,136.801,234413,4,5168814,234.41333,0,0,22050,1,0.17438,229.5873,-7.273,136.801,0.571,4,0.671,8,0.288,1,0.403,1,Flawless Remix (feat. Nicki Minaj)
38,0.759,0.716,11,-6.36,0,0.0818,0.0223,0.0,0.231,0.469,105.009,209733,4,4624620,209.73334,0,0,22050,1,0.0,207.05234,-6.36,105.009,0.258,4,1.0,11,0.452,0,0.449,1,Mi Gente (feat. Beyoncé)
39,0.715,0.81,9,-6.875,1,0.242,0.0491,0.0,0.335,0.794,129.941,120809,4,2663838,120.80898,0,0,22050,1,0.0,108.25143,-6.875,129.941,0.848,4,1.0,9,0.473,1,0.441,1,Beyonce
40,0.759,0.678,9,-5.148,0,0.314,0.23,0.0,0.15,0.327,89.64,205560,4,4532598,205.56,0,0,22050,1,0.13896,202.58249,-5.148,89.64,0.723,4,1.0,9,0.672,0,0.564,1,03' Bonnie & Clyde
41,0.742,0.509,9,-9.919,1,0.342,0.435,0.0,0.105,0.675,132.966,129925,4,2864842,129.9248,0,0,22050,1,0.0,129.9248,-9.919,132.966,0.679,4,1.0,9,0.0,1,0.148,1,Beyoncé
42,0.647,0.732,2,-5.846,1,0.0891,0.0846,0.0,0.597,0.548,67.295,222529,3,4906772,222.52934,0,0,22050,1,0.0,218.01796,-5.846,67.295,0.457,3,0.942,2,0.869,1,0.688,1,ALREADY
43,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,4,4260354,193.21333,0,0,22050,1,0.37683,188.42413,-5.293,193.437,0.37,4,1.0,1,0.711,1,0.607,1,Single Ladies (Put a Ring on It)
44,0.787,0.414,6,-9.829,0,0.201,0.604,0.0,0.101,0.354,92.943,188385,4,4153881,188.38463,0,0,22050,1,0.0,178.71239,-9.829,92.943,0.077,4,1.0,6,0.584,0,0.646,1,Beyonce
45,0.23,0.694,7,-6.828,0,0.109,0.0619,0.00191,0.112,0.26,172.751,226400,3,4992120,226.4,0,0,22050,1,0.25592,219.98006,-6.828,172.751,0.037,3,1.0,7,0.159,0,0.349,1,Crazy In Love - Remix
46,0.771,0.523,1,-7.62,1,0.0469,0.225,0.0198,0.105,0.439,143.989,202969,4,4475468,202.96907,0,0,22050,1,0.0,195.27982,-7.62,143.989,0.76,4,0.992,1,0.493,1,0.514,1,Beyoncé
47,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,220640,4,4865112,220.64,0,0,22050,1,0.25098,209.21179,-5.903,122.014,0.91,4,1.0,3,0.243,1,0.322,1,Telephone
48,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,301133,4,6639990,301.13333,0,0,22050,1,0.39519,290.73126,-9.092,83.61,0.198,4,1.0,1,0.213,1,0.382,1,"Me, Myself and I"
49,0.873,0.545,3,-9.468,0,0.337,0.24,0.0,0.0996,0.26,152.976,100416,4,2214172,100.41596,0,0,22050,1,0.0,91.42277,-9.468,152.976,0.496,4,1.0,3,0.21,0,0.273,1,Beyonce
0,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4,5338226,242.09642,0,0,22050,1,0.0634,225.14069,-7.964,148.088,0.247,4,0.919,5,0.162,1,0.256,2,Leave The Door Open
1,0.62,0.832,10,-4.848,1,0.0361,0.331,0.0,0.104,0.482,144.925,230120,4,5074146,230.12,0,0,22050,1,0.10821,224.2409,-4.848,144.925,0.583,4,0.829,10,0.241,1,0.349,2,Marry You
2,0.523,0.606,1,-4.754,0,0.0301,0.512,0.0,0.106,0.065,145.837,217867,4,4803960,217.86667,0,0,22050,1,0.35197,210.68626,-4.754,145.837,0.097,4,1.0,1,0.385,0,0.544,2,Talking to the Moon
3,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,5946150,269.66666,0,0,22050,1,0.28431,265.13126,-7.223,114.988,0.743,4,1.0,0,0.605,1,0.453,2,Uptown Funk (feat. Bruno Mars)
4,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.948,174.943,190213,4,4194204,190.21333,0,0,22050,1,2.00853,187.54758,-3.851,174.943,0.787,4,1.0,11,0.069,1,0.468,2,The Lazy Song
5,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4,4867170,220.73334,0,0,22050,1,0.30707,210.88364,-5.413,109.012,0.721,4,0.995,5,0.428,1,0.438,2,Just the Way You Are
6,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4,4982927,225.98308,0,0,22050,1,0.26109,222.15692,-4.282,106.97,0.823,4,0.992,1,0.205,1,0.437,2,24K Magic
7,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,203123,4,4478852,203.12254,0,0,22050,1,0.21515,198.70476,-8.365,112.027,0.951,4,1.0,5,0.563,1,0.429,2,Skate
8,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4,5338226,242.09642,0,0,22050,1,0.0634,225.14069,-7.964,148.088,0.247,4,0.919,5,0.162,1,0.256,2,Leave The Door Open
9,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,4714878,213.82668,0,0,22050,1,0.08703,205.43855,-8.648,72.795,0.072,4,0.558,0,0.516,1,0.644,2,When I Was Your Man
10,0.747,0.701,2,-4.902,1,0.0429,0.108,0.0,0.0712,0.589,100.012,228300,4,5034015,228.3,0,0,22050,1,0.29696,220.2761,-4.902,100.012,0.507,4,0.851,2,0.44,1,0.549,2,Versace on the Floor (Bruno Mars vs. David Guetta)
11,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4,5148195,233.47823,0,0,22050,1,0.13932,229.53506,-4.165,143.994,0.776,4,0.976,5,0.602,1,0.319,2,Locked out of Heaven
